Try,Dimension,Time
0,600,0.241166682
0,1000,2.029644644
0,1400,5.848275471
0,1800,30.576580093
0,2200,58.448765477
0,2600,104.441275523
0,3000,166.541575777
1,600,0.247371964
1,1000,1.182528756
1,1400,4.382684204
1,1800,27.401127993
1,2200,49.525215177
1,2600,63.551283482
1,3000,90.497518024
2,600,0.2479263
2,1000,2.222352911
2,1400,5.981405029
2,1800,27.587087366
2,2200,57.857029157
2,2600,77.110790588
2,3000,126.286645659
3,600,0.2507931
3,1000,2.231642794
3,1400,6.003569688
3,1800,27.543381503
3,2200,57.84018479
3,2600,100.970468276
3,3000,165.725874198
4,600,0.246075117
4,1000,2.193936543
4,1400,6.012482426
4,1800,27.391497104
4,2200,57.946540465
4,2600,103.848776797
4,3000,165.508218441
5,600,0.241445008
5,1000,2.178652972
5,1400,6.136344944
5,1800,11.45973235
5,2200,19.291552807
5,2600,63.446142286
5,3000,134.087766213
6,600,0.243609113
6,1000,2.391306247
6,1400,6.198163729
6,1800,27.83064905
6,2200,54.50087875
6,2600,98.864016786
6,3000,162.196731549
7,600,0.243518899
7,1000,2.18575979
7,1400,6.20821028
7,1800,16.963428253
7,2200,30.737305495
7,2600,92.4684874
7,3000,155.310541761
8,600,0.2479211
8,1000,2.156523502
8,1400,6.430679014
8,1800,28.640790834
8,2200,58.034749001
8,2600,104.441591127
8,3000,165.751901869
9,600,0.2722251
9,1000,1.3591047
9,1400,5.491912546
9,1800,10.162405098
9,2200,18.024170571
9,2600,34.093777735
9,3000,54.682513366
10,600,0.257286527
10,1000,1.204018569
10,1400,4.188980113
10,1800,9.47044705
10,2200,19.008058819
10,2600,34.167238366
10,3000,54.110092391